2024-07-04 06:53:34.223 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-07-04 06:53:34.223 [info] Added views:workbench.panel.output in workbench.panel.output
2024-07-04 06:53:34.223 [info] Added views:terminal in terminal
2024-07-04 06:53:34.223 [info] Added views:outline in workbench.view.explorer
2024-07-04 06:53:34.223 [info] Added views:workbench.scm in workbench.view.scm
2024-07-04 06:53:34.223 [info] Added views:workbench.view.search in workbench.view.search
2024-07-04 06:53:34.223 [info] Added views:timeline in workbench.view.explorer
2024-07-04 06:53:34.223 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-07-04 06:53:34.577 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-07-04 06:53:34.589 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-04 06:53:36.293 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-07-04 06:53:50.131 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-04 06:53:50.132 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-07-04 06:53:50.214 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2024-07-04 06:54:01.625 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-04 06:54:01.630 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-04 06:54:18.618 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-07-04 06:54:18.626 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-04 06:54:21.752 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-04 06:54:21.761 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-04 06:54:31.207 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-07-04 06:54:31.214 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-04 06:54:38.729 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-04 06:54:38.767 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-04 06:56:09.425 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-07-04 06:56:09.432 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-04 06:56:28.939 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-04 06:56:28.942 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-04 06:57:17.929 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-04 06:57:18.007 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
